id,company,origin,destination,departure,arrival,duration,vehicle_type,vehicle_class,price,fare,seats,meta,insert_date
19,renfe,MADRID,BARCELONA,2019-04-18 12:30:00,2019-04-18 15:30:00,3.0,AVE,Turista,107.7,Flexible,,{},2019-04-11 21:49:46
20,renfe,MADRID,BARCELONA,2019-04-18 07:30:00,2019-04-18 10:40:00,3.17,AVE,Turista Plus,90.5,Promo,,{},2019-04-11 21:49:46
21,renfe,MADRID,BARCELONA,2019-04-18 13:25:00,2019-04-18 16:24:00,2.98,AVE-TGV,Turista,107.7,Flexible,,{},2019-04-11 21:49:46
22,renfe,MADRID,BARCELONA,2019-04-18 10:30:00,2019-04-18 13:15:00,2.75,AVE,Turista Plus,102.15,Promo,,{},2019-04-11 21:49:46
23,renfe,MADRID,BARCELONA,2019-04-18 14:00:00,2019-04-18 16:30:00,2.5,AVE,Turista,100.4,Promo,,{},2019-04-11 21:49:46
24,renfe,MADRID,BARCELONA,2019-04-18 09:30:00,2019-04-18 12:34:00,3.07,AVE,Turista,107.7,Flexible,,{},2019-04-11 21:49:46
25,renfe,MADRID,BARCELONA,2019-04-18 14:30:00,2019-04-18 17:21:00,2.85,AVE,Turista,107.7,Flexible,,{},2019-04-11 21:49:46
26,renfe,MADRID,BARCELONA,2019-04-18 12:30:00,2019-04-18 15:30:00,3.0,AVE,Turista,107.7,Flexible,,{},2019-04-11 21:49:46
27,renfe,MADRID,BARCELONA,2019-04-18 15:30:00,2019-04-18 18:40:00,3.17,AVE,Preferente,,Promo,,{},2019-04-11 21:49:46
28,renfe,MADRID,BARCELONA,2019-04-18 21:25:00,2019-04-18 23:55:00,2.5,AVE,,,,,{},2019-04-11 21:49:46
29,renfe,MADRID,BARCELONA,2019-04-18 16:30:00,2019-04-18 19:15:00,2.75,AVE,Turista Plus,102.15,Promo,,{},2019-04-11 21:49:46
30,renfe,MADRID,BARCELONA,2019-04-18 17:30:00,2019-04-18 20:40:00,3.17,AVE,Turista,75.4,Promo,,{},2019-04-11 21:49:46
31,renfe,MADRID,BARCELONA,2019-04-18 18:30:00,2019-04-18 21:20:00,2.83,AVE,Turista Plus,90.5,Promo,,{},2019-04-11 21:49:46
32,renfe,MADRID,BARCELONA,2019-04-18 19:00:00,2019-04-18 21:30:00,2.5,AVE,Preferente,115.65,Promo,,{},2019-04-11 21:49:46
33,renfe,MADRID,BARCELONA,2019-04-18 19:30:00,2019-04-18 22:40:00,3.17,AVE,Turista,85.1,Promo,,{},2019-04-11 21:49:46
34,renfe,MADRID,BARCELONA,2019-04-18 20:30:00,2019-04-18 23:40:00,3.17,AVE,Turista,85.1,Promo,,{},2019-04-11 21:49:46
35,renfe,MADRID,BARCELONA,2019-04-18 21:25:00,2019-04-18 23:55:00,2.5,AVE,,,,,{},2019-04-11 21:49:46
36,renfe,MADRID,BARCELONA,2019-04-18 14:00:00,2019-04-18 16:30:00,2.5,AVE,Turista,100.4,Promo,,{},2019-04-11 21:49:46
37,renfe,MADRID,BARCELONA,2019-04-18 05:50:00,2019-04-18 08:55:00,3.08,AVE,Preferente,68.95,Promo,,{},2019-04-11 21:49:46
38,renfe,MADRID,BARCELONA,2019-04-18 14:30:00,2019-04-18 17:21:00,2.85,AVE,Turista,107.7,Flexible,,{},2019-04-11 21:49:46
39,renfe,MADRID,BARCELONA,2019-04-18 08:30:00,2019-04-18 11:15:00,2.75,AVE,Turista,107.7,Flexible,,{},2019-04-11 21:49:46
40,renfe,MADRID,BARCELONA,2019-04-18 17:30:00,2019-04-18 20:40:00,3.17,AVE,Turista,75.4,Promo,,{},2019-04-11 21:49:46
41,renfe,MADRID,BARCELONA,2019-04-18 07:00:00,2019-04-18 09:30:00,2.5,AVE,Turista Plus,106.75,Promo,,{},2019-04-11 21:49:46
42,renfe,MADRID,BARCELONA,2019-04-18 20:30:00,2019-04-18 23:40:00,3.17,AVE,Turista,85.1,Promo,,{},2019-04-11 21:49:46
43,renfe,MADRID,BARCELONA,2019-05-18 20:30:00,2019-05-18 23:40:00,3.17,AVE,Turista Plus,69.8,Promo,,{},2019-04-11 21:49:48
44,renfe,MADRID,BARCELONA,2019-05-18 06:20:00,2019-05-18 09:29:00,3.15,AVE,Turista,66.75,Promo,,{},2019-04-11 21:49:48
45,renfe,MADRID,BARCELONA,2019-05-18 07:30:00,2019-05-18 10:40:00,3.17,AVE,Turista,85.1,Promo,,{},2019-04-11 21:49:48
46,renfe,MADRID,BARCELONA,2019-05-18 07:30:00,2019-05-18 10:40:00,3.17,AVE,Turista,85.1,Promo,,{},2019-04-11 21:49:48
47,renfe,MADRID,BARCELONA,2019-05-18 09:30:00,2019-05-18 12:34:00,3.07,AVE,Turista,85.1,Promo,,{},2019-04-11 21:49:48
48,renfe,MADRID,BARCELONA,2019-05-18 08:30:00,2019-05-18 11:15:00,2.75,AVE,Turista,85.1,Promo,,{},2019-04-11 21:49:48
49,renfe,MADRID,BARCELONA,2019-05-18 08:30:00,2019-05-18 11:15:00,2.75,AVE,Turista,85.1,Promo,,{},2019-04-11 21:49:48
50,renfe,MADRID,BARCELONA,2019-05-18 09:30:00,2019-05-18 12:34:00,3.07,AVE,Turista,85.1,Promo,,{},2019-04-11 21:49:48
51,renfe,MADRID,BARCELONA,2019-05-18 13:25:00,2019-05-18 16:24:00,2.98,AVE-TGV,Turista,75.4,Promo,,{},2019-04-11 21:49:48
52,renfe,MADRID,BARCELONA,2019-05-18 10:30:00,2019-05-18 13:15:00,2.75,AVE,Turista,75.4,Promo,,{},2019-04-11 21:49:48
53,renfe,MADRID,BARCELONA,2019-05-18 17:30:00,2019-05-18 20:40:00,3.17,AVE,Turista,75.4,Promo,,{},2019-04-11 21:49:48
54,renfe,MADRID,BARCELONA,2019-05-18 11:30:00,2019-05-18 14:40:00,3.17,AVE,Turista,75.4,Promo,,{},2019-04-11 21:49:48
55,renfe,MADRID,BARCELONA,2019-05-18 18:30:00,2019-05-18 21:20:00,2.83,AVE,Turista,75.4,Promo,,{},2019-04-11 21:49:48
56,renfe,MADRID,BARCELONA,2019-05-18 12:30:00,2019-05-18 15:30:00,3.0,AVE,Turista,75.4,Promo,,{},2019-04-11 21:49:48
57,renfe,MADRID,BARCELONA,2019-05-18 15:30:00,2019-05-18 18:40:00,3.17,AVE,Preferente,86.8,Promo,,{},2019-04-11 21:49:48
58,renfe,MADRID,BARCELONA,2019-05-18 13:25:00,2019-05-18 16:24:00,2.98,AVE-TGV,Turista,75.4,Promo,,{},2019-04-11 21:49:48
59,renfe,MADRID,BARCELONA,2019-05-18 15:30:00,2019-05-18 18:40:00,3.17,AVE,Preferente,86.8,Promo,,{},2019-04-11 21:49:48
60,renfe,MADRID,BARCELONA,2019-05-18 16:30:00,2019-05-18 19:15:00,2.75,AVE,Turista Plus,80.15,Promo,,{},2019-04-11 21:49:48
61,renfe,MADRID,BARCELONA,2019-05-18 17:30:00,2019-05-18 20:40:00,3.17,AVE,Turista,75.4,Promo,,{},2019-04-11 21:49:48
62,renfe,MADRID,BARCELONA,2019-05-18 18:30:00,2019-05-18 21:20:00,2.83,AVE,Turista,75.4,Promo,,{},2019-04-11 21:49:48
63,renfe,MADRID,BARCELONA,2019-05-18 19:30:00,2019-05-18 22:40:00,3.17,AVE,Turista Plus,49.15,Promo,,{},2019-04-11 21:49:48
64,renfe,MADRID,BARCELONA,2019-05-18 20:30:00,2019-05-18 23:40:00,3.17,AVE,Turista Plus,69.8,Promo,,{},2019-04-11 21:49:48
65,renfe,MADRID,BARCELONA,2019-05-18 16:30:00,2019-05-18 19:15:00,2.75,AVE,Turista Plus,80.15,Promo,,{},2019-04-11 21:49:48
66,renfe,MADRID,BARCELONA,2019-05-18 19:30:00,2019-05-18 22:40:00,3.17,AVE,Turista Plus,49.15,Promo,,{},2019-04-11 21:49:48
67,renfe,MADRID,BARCELONA,2019-05-18 12:30:00,2019-05-18 15:30:00,3.0,AVE,Turista,75.4,Promo,,{},2019-04-11 21:49:48
68,renfe,MADRID,BARCELONA,2019-05-18 10:30:00,2019-05-18 13:15:00,2.75,AVE,Turista,75.4,Promo,,{},2019-04-11 21:49:48
69,renfe,MADRID,BARCELONA,2019-05-18 11:30:00,2019-05-18 14:40:00,3.17,AVE,Turista,75.4,Promo,,{},2019-04-11 21:49:48
70,renfe,MADRID,BARCELONA,2019-05-18 06:20:00,2019-05-18 09:29:00,3.15,AVE,Turista,66.75,Promo,,{},2019-04-11 21:49:48
71,renfe,MADRID,BARCELONA,2019-05-22 16:30:00,2019-05-22 19:15:00,2.75,AVE,Turista Plus,90.5,Promo,,{},2019-04-11 21:50:04
72,renfe,MADRID,BARCELONA,2019-05-22 06:10:00,2019-05-22 08:40:00,2.5,AVE,Turista,85.1,Promo,,{},2019-04-11 21:50:04
73,renfe,MADRID,BARCELONA,2019-05-22 17:30:00,2019-05-22 20:40:00,3.17,AVE,Turista,85.1,Promo,,{},2019-04-11 21:50:04
74,renfe,MADRID,BARCELONA,2019-05-22 06:30:00,2019-05-22 09:20:00,2.83,AVE,Turista,40.95,Promo,,{},2019-04-11 21:50:04
75,renfe,MADRID,BARCELONA,2019-04-22 16:30:00,2019-04-22 19:15:00,2.75,AVE,Preferente,181.5,Flexible,,{},2019-04-11 21:50:04
76,renfe,MADRID,BARCELONA,2019-05-22 07:00:00,2019-05-22 09:30:00,2.5,AVE,Turista Plus,94.55,Promo,,{},2019-04-11 21:50:04
77,renfe,MADRID,BARCELONA,2019-04-22 07:00:00,2019-04-22 09:30:00,2.5,AVE,Turista Plus,106.75,Promo,,{},2019-04-11 21:50:04
78,renfe,MADRID,BARCELONA,2019-05-22 07:15:00,2019-05-22 16:37:00,9.37,R. EXPRES,Turista,43.25,Adulto ida,,{},2019-04-11 21:50:04
79,renfe,MADRID,BARCELONA,2019-04-22 08:00:00,2019-04-22 10:30:00,2.5,AVE,Turista,100.4,Promo,,{},2019-04-11 21:50:04
80,renfe,MADRID,BARCELONA,2019-05-22 07:20:00,2019-05-22 09:50:00,2.5,AVE,Turista,100.4,Promo,,{},2019-04-11 21:50:04
81,renfe,MADRID,BARCELONA,2019-05-22 08:00:00,2019-05-22 10:30:00,2.5,AVE,Turista,100.4,Promo,,{},2019-04-11 21:50:04
82,renfe,MADRID,BARCELONA,2019-05-22 07:30:00,2019-05-22 10:40:00,3.17,AVE,Turista,85.1,Promo,,{},2019-04-11 21:50:04
83,renfe,MADRID,BARCELONA,2019-04-22 14:30:00,2019-04-22 17:21:00,2.85,AVE,Turista,107.7,Flexible,,{},2019-04-11 21:50:04
84,renfe,MADRID,BARCELONA,2019-05-22 08:00:00,2019-05-22 10:30:00,2.5,AVE,Turista,100.4,Promo,,{},2019-04-11 21:50:04
85,renfe,MADRID,BARCELONA,2019-04-22 05:50:00,2019-04-22 08:55:00,3.08,AVE,Turista,66.75,Promo,,{},2019-04-11 21:50:04
86,renfe,MADRID,BARCELONA,2019-05-22 08:20:00,2019-05-22 11:05:00,2.75,AVE,Turista,40.95,Promo,,{},2019-04-11 21:50:04
87,renfe,MADRID,BARCELONA,2019-05-22 09:30:00,2019-05-22 12:34:00,3.07,AVE,Turista,85.1,Promo,,{},2019-04-11 21:50:04
88,renfe,MADRID,BARCELONA,2019-05-22 08:30:00,2019-05-22 11:15:00,2.75,AVE,Turista,75.4,Promo,,{},2019-04-11 21:50:04
89,renfe,MADRID,BARCELONA,2019-04-22 06:30:00,2019-04-22 09:20:00,2.83,AVE,Turista,75.4,Promo,,{},2019-04-11 21:50:04
90,renfe,MADRID,BARCELONA,2019-05-22 09:00:00,2019-05-22 11:45:00,2.75,AVE,Turista,85.1,Promo,,{},2019-04-11 21:50:04
91,renfe,MADRID,BARCELONA,2019-04-22 10:30:00,2019-04-22 13:15:00,2.75,AVE,Turista,107.7,Flexible,,{},2019-04-11 21:50:04
92,renfe,MADRID,BARCELONA,2019-05-22 09:30:00,2019-05-22 12:34:00,3.07,AVE,Turista,85.1,Promo,,{},2019-04-11 21:50:04
93,renfe,MADRID,BARCELONA,2019-05-22 06:10:00,2019-05-22 08:40:00,2.5,AVE,Turista,85.1,Promo,,{},2019-04-11 21:50:04
94,renfe,MADRID,BARCELONA,2019-05-22 10:30:00,2019-05-22 13:15:00,2.75,AVE,Turista,85.1,Promo,,{},2019-04-11 21:50:04
95,renfe,MADRID,BARCELONA,2019-04-22 19:30:00,2019-04-22 22:40:00,3.17,AVE,Preferente,181.5,Flexible,,{},2019-04-11 21:50:04
96,renfe,MADRID,BARCELONA,2019-05-22 11:30:00,2019-05-22 14:40:00,3.17,AVE,Turista,85.1,Promo,,{},2019-04-11 21:50:04
97,renfe,MADRID,BARCELONA,2019-05-22 17:00:00,2019-05-22 19:30:00,2.5,AVE,Turista,100.4,Promo,,{},2019-04-11 21:50:04
98,renfe,MADRID,BARCELONA,2019-05-22 12:30:00,2019-05-22 15:30:00,3.0,AVE,Turista Plus,90.5,Promo,,{},2019-04-11 21:50:04
99,renfe,MADRID,BARCELONA,2019-05-22 15:30:00,2019-05-22 18:40:00,3.17,AVE,Turista,85.1,Promo,,{},2019-04-11 21:50:04
100,renfe,MADRID,BARCELONA,2019-05-22 13:25:00,2019-05-22 16:24:00,2.98,AVE-TGV,Turista,40.95,Promo,,{},2019-04-11 21:50:04
101,renfe,MADRID,BARCELONA,2019-05-22 11:30:00,2019-05-22 14:40:00,3.17,AVE,Turista,85.1,Promo,,{},2019-04-11 21:50:04
102,renfe,MADRID,BARCELONA,2019-05-22 14:00:00,2019-05-22 16:30:00,2.5,AVE,Turista,78.8,Promo,,{},2019-04-11 21:50:04
103,renfe,MADRID,BARCELONA,2019-04-22 21:25:00,2019-04-22 23:55:00,2.5,AVE,Turista,107.7,Flexible,,{},2019-04-11 21:50:04
104,renfe,MADRID,BARCELONA,2019-05-22 14:30:00,2019-05-22 17:21:00,2.85,AVE,Turista,66.75,Promo,,{},2019-04-11 21:50:04
105,renfe,MADRID,BARCELONA,2019-05-22 20:30:00,2019-05-22 23:40:00,3.17,AVE,Turista,49.55,Promo,,{},2019-04-11 21:50:04
106,renfe,MADRID,BARCELONA,2019-05-22 15:00:00,2019-05-22 17:30:00,2.5,AVE,Turista,88.95,Promo,,{},2019-04-11 21:50:04
107,renfe,MADRID,BARCELONA,2019-05-22 07:30:00,2019-05-22 10:40:00,3.17,AVE,Turista,85.1,Promo,,{},2019-04-11 21:50:04
108,renfe,MADRID,BARCELONA,2019-05-22 15:30:00,2019-05-22 18:40:00,3.17,AVE,Turista,85.1,Promo,,{},2019-04-11 21:50:04
109,renfe,MADRID,BARCELONA,2019-05-22 08:20:00,2019-05-22 11:05:00,2.75,AVE,Turista,40.95,Promo,,{},2019-04-11 21:50:04
110,renfe,MADRID,BARCELONA,2019-05-22 16:00:00,2019-05-22 18:30:00,2.5,AVE,Turista,68.65,Promo,,{},2019-04-11 21:50:04
111,renfe,MADRID,BARCELONA,2019-05-22 06:30:00,2019-05-22 09:20:00,2.83,AVE,Turista,40.95,Promo,,{},2019-04-11 21:50:04
112,renfe,MADRID,BARCELONA,2019-05-22 16:30:00,2019-05-22 19:15:00,2.75,AVE,Turista Plus,90.5,Promo,,{},2019-04-11 21:50:04
113,renfe,MADRID,BARCELONA,2019-05-22 19:00:00,2019-05-22 21:30:00,2.5,AVE,Turista Plus,82.35,Promo,,{},2019-04-11 21:50:04
114,renfe,MADRID,BARCELONA,2019-05-22 17:00:00,2019-05-22 19:30:00,2.5,AVE,Turista,100.4,Promo,,{},2019-04-11 21:50:04
115,renfe,MADRID,BARCELONA,2019-04-22 19:00:00,2019-04-22 21:30:00,2.5,AVE,Turista,127.1,Flexible,,{},2019-04-11 21:50:04
116,renfe,MADRID,BARCELONA,2019-05-22 17:30:00,2019-05-22 20:40:00,3.17,AVE,Turista,85.1,Promo,,{},2019-04-11 21:50:04
117,renfe,MADRID,BARCELONA,2019-04-22 08:30:00,2019-04-22 11:15:00,2.75,AVE,Preferente,,Promo,,{},2019-04-11 21:50:04
118,renfe,MADRID,BARCELONA,2019-05-22 18:00:00,2019-05-22 20:30:00,2.5,AVE,Turista,100.4,Promo,,{},2019-04-11 21:50:04
119,renfe,MADRID,BARCELONA,2019-05-22 16:00:00,2019-05-22 18:30:00,2.5,AVE,Turista,68.65,Promo,,{},2019-04-11 21:50:04
120,renfe,MADRID,BARCELONA,2019-05-22 18:30:00,2019-05-22 21:20:00,2.83,AVE,Turista Plus,102.15,Promo,,{},2019-04-11 21:50:04
121,renfe,MADRID,BARCELONA,2019-05-22 18:00:00,2019-05-22 20:30:00,2.5,AVE,Turista,100.4,Promo,,{},2019-04-11 21:50:04
122,renfe,MADRID,BARCELONA,2019-05-22 19:00:00,2019-05-22 21:30:00,2.5,AVE,Turista Plus,82.35,Promo,,{},2019-04-11 21:50:04
123,renfe,MADRID,BARCELONA,2019-05-22 07:15:00,2019-05-22 16:37:00,9.37,R. EXPRES,Turista,43.25,Adulto ida,,{},2019-04-11 21:50:04
124,renfe,MADRID,BARCELONA,2019-05-22 19:30:00,2019-05-22 22:40:00,3.17,AVE,Turista,58.15,Promo,,{},2019-04-11 21:50:04
125,renfe,MADRID,BARCELONA,2019-05-22 12:30:00,2019-05-22 15:30:00,3.0,AVE,Turista Plus,90.5,Promo,,{},2019-04-11 21:50:04
126,renfe,MADRID,BARCELONA,2019-05-22 20:00:00,2019-05-22 22:30:00,2.5,AVE,Turista,78.8,Promo,,{},2019-04-11 21:50:04
127,renfe,MADRID,BARCELONA,2019-04-22 17:00:00,2019-04-22 19:30:00,2.5,AVE,Turista,127.1,Flexible,,{},2019-04-11 21:50:04
128,renfe,MADRID,BARCELONA,2019-05-22 20:30:00,2019-05-22 23:40:00,3.17,AVE,Turista,49.55,Promo,,{},2019-04-11 21:50:04
129,renfe,MADRID,BARCELONA,2019-04-22 18:30:00,2019-04-22 21:20:00,2.83,AVE,Turista,107.7,Flexible,,{},2019-04-11 21:50:04
130,renfe,MADRID,BARCELONA,2019-05-22 21:25:00,2019-05-22 23:55:00,2.5,AVE,Turista,75.4,Promo,,{},2019-04-11 21:50:04
131,renfe,MADRID,BARCELONA,2019-05-22 14:00:00,2019-05-22 16:30:00,2.5,AVE,Turista,78.8,Promo,,{},2019-04-11 21:50:04
132,renfe,MADRID,BARCELONA,2019-04-22 05:50:00,2019-04-22 08:55:00,3.08,AVE,Turista,66.75,Promo,,{},2019-04-11 21:50:04
133,renfe,MADRID,BARCELONA,2019-04-22 07:15:00,2019-04-22 16:37:00,9.37,R. EXPRES,Turista,43.25,Adulto ida,,{},2019-04-11 21:50:04
134,renfe,MADRID,BARCELONA,2019-04-22 06:30:00,2019-04-22 09:20:00,2.83,AVE,Turista,75.4,Promo,,{},2019-04-11 21:50:04
135,renfe,MADRID,BARCELONA,2019-05-22 20:00:00,2019-05-22 22:30:00,2.5,AVE,Turista,78.8,Promo,,{},2019-04-11 21:50:04
136,renfe,MADRID,BARCELONA,2019-04-22 07:00:00,2019-04-22 09:30:00,2.5,AVE,Turista Plus,106.75,Promo,,{},2019-04-11 21:50:04
137,renfe,MADRID,BARCELONA,2019-04-22 13:25:00,2019-04-22 16:24:00,2.98,AVE-TGV,Preferente,181.5,Flexible,,{},2019-04-11 21:50:04
138,renfe,MADRID,BARCELONA,2019-04-22 07:15:00,2019-04-22 16:37:00,9.37,R. EXPRES,Turista,43.25,Adulto ida,,{},2019-04-11 21:50:04
139,renfe,MADRID,BARCELONA,2019-05-22 13:25:00,2019-05-22 16:24:00,2.98,AVE-TGV,Turista,40.95,Promo,,{},2019-04-11 21:50:04
140,renfe,MADRID,BARCELONA,2019-04-22 07:30:00,2019-04-22 10:40:00,3.17,AVE,Turista,85.1,Promo,,{},2019-04-11 21:50:04
141,renfe,MADRID,BARCELONA,2019-05-22 09:00:00,2019-05-22 11:45:00,2.75,AVE,Turista,85.1,Promo,,{},2019-04-11 21:50:04
142,renfe,MADRID,BARCELONA,2019-04-22 08:00:00,2019-04-22 10:30:00,2.5,AVE,Turista,100.4,Promo,,{},2019-04-11 21:50:04
143,renfe,MADRID,BARCELONA,2019-05-22 07:00:00,2019-05-22 09:30:00,2.5,AVE,Turista Plus,94.55,Promo,,{},2019-04-11 21:50:04
144,renfe,MADRID,BARCELONA,2019-04-22 08:30:00,2019-04-22 11:15:00,2.75,AVE,Preferente,,Promo,,{},2019-04-11 21:50:04
145,renfe,MADRID,BARCELONA,2019-04-22 16:00:00,2019-04-22 18:30:00,2.5,AVE,Turista,127.1,Flexible,,{},2019-04-11 21:50:04
146,renfe,MADRID,BARCELONA,2019-04-22 09:30:00,2019-04-22 12:34:00,3.07,AVE,Turista Plus,102.15,Promo,,{},2019-04-11 21:50:04
147,renfe,MADRID,BARCELONA,2019-04-22 15:00:00,2019-04-22 17:30:00,2.5,AVE,Preferente,132.8,Promo,,{},2019-04-11 21:50:04
148,renfe,MADRID,BARCELONA,2019-04-22 10:30:00,2019-04-22 13:15:00,2.75,AVE,Turista,107.7,Flexible,,{},2019-04-11 21:50:04
149,renfe,MADRID,BARCELONA,2019-04-22 09:30:00,2019-04-22 12:34:00,3.07,AVE,Turista Plus,102.15,Promo,,{},2019-04-11 21:50:04
150,renfe,MADRID,BARCELONA,2019-04-22 11:30:00,2019-04-22 14:40:00,3.17,AVE,Preferente,181.5,Flexible,,{},2019-04-11 21:50:04
151,renfe,MADRID,BARCELONA,2019-04-22 07:30:00,2019-04-22 10:40:00,3.17,AVE,Turista,85.1,Promo,,{},2019-04-11 21:50:04
152,renfe,MADRID,BARCELONA,2019-04-22 12:30:00,2019-04-22 15:30:00,3.0,AVE,Preferente,181.5,Flexible,,{},2019-04-11 21:50:04
153,renfe,MADRID,BARCELONA,2019-05-22 19:30:00,2019-05-22 22:40:00,3.17,AVE,Turista,58.15,Promo,,{},2019-04-11 21:50:04
154,renfe,MADRID,BARCELONA,2019-04-22 13:25:00,2019-04-22 16:24:00,2.98,AVE-TGV,Preferente,181.5,Flexible,,{},2019-04-11 21:50:04
155,renfe,MADRID,BARCELONA,2019-05-22 18:30:00,2019-05-22 21:20:00,2.83,AVE,Turista Plus,102.15,Promo,,{},2019-04-11 21:50:04
156,renfe,MADRID,BARCELONA,2019-04-22 14:00:00,2019-04-22 16:30:00,2.5,AVE,Turista,127.1,Flexible,,{},2019-04-11 21:50:04
157,renfe,MADRID,BARCELONA,2019-04-22 20:00:00,2019-04-22 22:30:00,2.5,AVE,Turista,127.1,Flexible,,{},2019-04-11 21:50:04
158,renfe,MADRID,BARCELONA,2019-04-22 14:30:00,2019-04-22 17:21:00,2.85,AVE,Turista,107.7,Flexible,,{},2019-04-11 21:50:04
159,renfe,MADRID,BARCELONA,2019-04-22 11:30:00,2019-04-22 14:40:00,3.17,AVE,Preferente,181.5,Flexible,,{},2019-04-11 21:50:04
160,renfe,MADRID,BARCELONA,2019-04-22 15:00:00,2019-04-22 17:30:00,2.5,AVE,Preferente,132.8,Promo,,{},2019-04-11 21:50:04
161,renfe,MADRID,BARCELONA,2019-04-22 15:30:00,2019-04-22 18:40:00,3.17,AVE,Turista,107.7,Flexible,,{},2019-04-11 21:50:04
162,renfe,MADRID,BARCELONA,2019-04-22 16:00:00,2019-04-22 18:30:00,2.5,AVE,Turista,127.1,Flexible,,{},2019-04-11 21:50:04
163,renfe,MADRID,BARCELONA,2019-04-22 16:30:00,2019-04-22 19:15:00,2.75,AVE,Preferente,181.5,Flexible,,{},2019-04-11 21:50:04
164,renfe,MADRID,BARCELONA,2019-04-22 17:00:00,2019-04-22 19:30:00,2.5,AVE,Turista,127.1,Flexible,,{},2019-04-11 21:50:04
165,renfe,MADRID,BARCELONA,2019-04-22 17:30:00,2019-04-22 20:40:00,3.17,AVE,Turista,107.7,Flexible,,{},2019-04-11 21:50:04
166,renfe,MADRID,BARCELONA,2019-04-22 18:00:00,2019-04-22 20:30:00,2.5,AVE,Preferente,214.2,Flexible,,{},2019-04-11 21:50:04
167,renfe,MADRID,BARCELONA,2019-04-22 18:30:00,2019-04-22 21:20:00,2.83,AVE,Turista,107.7,Flexible,,{},2019-04-11 21:50:04
168,renfe,MADRID,BARCELONA,2019-04-22 19:00:00,2019-04-22 21:30:00,2.5,AVE,Turista,127.1,Flexible,,{},2019-04-11 21:50:04
169,renfe,MADRID,BARCELONA,2019-04-22 19:30:00,2019-04-22 22:40:00,3.17,AVE,Preferente,181.5,Flexible,,{},2019-04-11 21:50:04
170,renfe,MADRID,BARCELONA,2019-04-22 20:00:00,2019-04-22 22:30:00,2.5,AVE,Turista,127.1,Flexible,,{},2019-04-11 21:50:04
171,renfe,MADRID,BARCELONA,2019-04-22 20:30:00,2019-04-22 23:40:00,3.17,AVE,Preferente,181.5,Flexible,,{},2019-04-11 21:50:04
